acc_acrossUser,alpha,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,comm_1,comm_2,comm_3,comm_4,comm_5,comm_6,difficult_1,difficult_2,difficult_3,difficult_4,difficult_5,difficult_6,ground_1,ground_2,ground_3,ground_4,ground_5,ground_6,id,multiple_user,voteHard_1,voteHard_2,voteHard_3,voteHard_4,voteHard_5,voteHard_6
"[15, 18, 30]",0.685714286,1,0,0,1,0,0,The animals look the same to me.,I am not able to see the features of the two animals up close.,I cannot see the front of the primate.,The animal flashes by quickly in this video.,I am afraid the two primates are just so similar in appearance.,I did not see an animal in this video.,100,100,100,100,100,1,Yes,Yes,No,Yes,No,No,CCPL0000al,1,0,0,0,1,0,3
"[15, 18, 30]",0.685714286,1,1,0,1,1,0,I feel very easy,I feel easy,I feel difficult,I fellj difficult this video,I feel easy,This videos not jimpancy,11,16,78,28,12,69,Yes,Yes,No,Yes,No,No,CCPL0000al,1,0,0,0,1,0,3
"[15, 18, 30]",0.057142857,1,1,1,0,1,0,i think so,same as before,same in the above video,it is so dark,same video,the is no kong,80,71,50,74,50,50,Yes,Yes,No,Yes,No,No,CCPL0000al,1,0,0,0,1,0,3
"[15, 18, 30]",0.3125,1,1,1,1,1,0,i see the esme,i feel very easy,i feel very easy,i feel some difficult,i feel very easy,i feel difficult,48,16,14,60,8,89,Yes,Yes,No,Yes,No,No,CCPL0000al,1,0,0,0,1,0,3
"[15, 18, 30]",-0.571428571,0,0,1,1,1,1,VIDEO QUALITY IS POOR,ITS HARD,EASY OF,VERY DIFICULT,FILD WALK AND IIKE,TIM LIKE VIDEO,100,69,39,67,35,64,Yes,Yes,No,Yes,No,No,CCPL0000al,1,0,0,0,1,0,3
"[5, 5, 12]",-0.375,1,1,0,1,1,1,IT IS SOMEWHAT DIFFICULT TO FIND,IT IS EASY TO FIND THROUGH THIS VIDEO,THIS VIDEO IS NOT CLEAR SO IT IS DIFFICULT,THE VIDEO IS CLEAR SO IT IS EASY TO FIND,BECAUSE OF THE VIDEO,THE VIDEO IS CLEAR,93,18,79,15,50,22,Yes,No,Yes,No,No,Yes,CCPL0000am,1,0,0,1,0,0,0
"[5, 5, 12]",0.057142857,1,1,0,0,0,0,Spotting baby on her back,"Pearl has a loping gait, leading with her left rear leg.",So light and chimp is moving slowly,Baby chimp present,Both chimps look larger/older and one has a baby,Baby on chimp's back.,20,68,84,50,23,7,Yes,No,Yes,No,No,Yes,CCPL0000am,1,0,0,1,0,0,0
"[18, 19, 30]",0.388888889,0,1,1,1,0,0,its difficult,it is easy,its easy,i feel this video is easy,its difficult,its difficult,57,13,20,39,61,78,No,No,Yes,Yes,No,Yes,CCPL0000b1,1,1,0,0,0,0,0
"[18, 19, 30]",0.388888889,0,1,1,1,0,0,i feel it was very easy,i feel it very easy,i feel it very easy,i feel it very easy,i feel it very difficult,i feel it very easy,53,41,9,6,89,6,No,No,Yes,Yes,No,Yes,CCPL0000b1,1,1,0,0,0,0,0
"[18, 19, 30]",0.388888889,0,1,1,1,0,0,easy,easy,easy,easy,easy,easy,88,5,35,23,19,26,No,No,Yes,Yes,No,Yes,CCPL0000b1,1,1,0,0,0,0,0
"[18, 19, 30]",0.388888889,0,1,1,1,0,0,i feel easy this is not amy,i feel easy because this is amy,i feel easy because this is amy,i feel easy because this is amy,i feel easy because this is  not amy,i feel easy because this is  not amy,12,26,17,16,50,11,No,No,Yes,Yes,No,Yes,CCPL0000b1,1,1,0,0,0,0,0
"[18, 19, 30]",0.3125,1,1,1,1,0,1,i feel some difficult,i feel some easy,some time difficult,some difficult,some difficult,i feel easy,70,30,39,59,32,26,No,No,Yes,Yes,No,Yes,CCPL0000b1,1,1,0,0,0,0,0
"[16, 17, 30]",-0.222222222,0,0,0,0,0,0,its easy its forest,its forest,its forest,its forest,good,its forest,1,1,3,4,15,6,Yes,Yes,Yes,No,No,No,CCPL0000b2,1,0,0,0,0,0,1
"[16, 17, 30]",-0.222222222,0,0,0,0,0,0,monkey moving,same monkey hear,same,two monkey hear,they are playing,no one hear,15,22,35,23,33,85,Yes,Yes,Yes,No,No,No,CCPL0000b2,1,0,0,0,0,0,1
"[16, 17, 30]",-0.222222222,0,0,0,0,0,0,i feel easy,easy,i fell easy,i fell easy.,i fell easy.,i fell dificult,17,17,9,20,17,72,Yes,Yes,Yes,No,No,No,CCPL0000b2,1,0,0,0,0,0,1
"[16, 17, 30]",0.685714286,1,1,0,0,0,0,More similar in both river and not river region,Hard to recognize,Nothing,Easy,Easy,Easy,74,74,65,73,38,35,Yes,Yes,Yes,No,No,No,CCPL0000b2,1,0,0,0,0,0,1
"[16, 17, 30]",-0.222222222,0,0,0,0,0,0,none,none,none,none,cant able to see clearly,none,15,30,23,25,74,50,Yes,Yes,Yes,No,No,No,CCPL0000b2,1,0,0,0,0,0,1
"[13, 18, 30]",0.3125,1,0,0,0,0,0,one ape no face shown,most apes face shown,most apes face shown but there's a lot of them,glare makes it hard to see faces,faces hidden by vegetation,backs are turned to the camera,62,22,46,20,95,100,Yes,No,No,Yes,No,Yes,CCPL0000ci,1,1,1,2,2,2,4
"[13, 18, 30]",-0.222222222,0,0,0,0,0,0,No video,No video,No video,No video,No video,No video,50,50,50,50,50,50,Yes,No,No,Yes,No,Yes,CCPL0000ci,1,1,1,2,2,2,4
"[13, 18, 30]",0.388888889,1,0,1,1,0,0,very easy,VERY EASY,VERY EASY,I FEEL VERY EASY,DIFFICULT,VERY EASY,17,19,5,12,50,45,Yes,No,No,Yes,No,Yes,CCPL0000ci,1,1,1,2,2,2,4
"[13, 18, 30]",0.057142857,1,0,1,0,0,0,i felt easy,i felt difficult,i felt easy,i felt difficult,i felt easy,i felt difficult,50,72,50,71,50,50,Yes,No,No,Yes,No,Yes,CCPL0000ci,1,1,1,2,2,2,4
"[13, 18, 30]",0.3125,1,0,0,0,0,0,I feel it easy because you caneasily distinguish his face from the rest.,I feel easy because Fry is a bit tall as compared to the animals that have been shown,I feel it is difficult because they almost all look the same.,I feel difficult because of the glaring in the video.,I feel it is easy because the animals in the video look a bit short as compared to fry.,I feel dificult because they are all walking aganist the camera.,60,15,87,59,22,80,Yes,No,No,Yes,No,Yes,CCPL0000ci,1,1,1,2,2,2,4
"[22, 24, 30]",0.685714286,1,1,1,1,0,0,I feel easy because this video is very clear,I feel difficult because this presented video is block and white,I feel easy because this presented video is very clear,I feel easy because this presented video is very clear,I feel difficult because this video is not clear,I feel difficult because this presented video is not clear,20,74,16,18,85,93,Yes,Yes,Yes,No,No,No,CCPL0000cy,1,0,0,1,1,0,2
"[22, 24, 30]",0.3125,1,0,0,0,0,0,there are many chimpanzee,very difficult to understand,very easy to know,there are nothing chimpanzee,this was very easy to understand,very difficult to know,20,29,28,28,20,50,Yes,Yes,Yes,No,No,No,CCPL0000cy,1,0,0,1,1,0,2
"[22, 24, 30]",0.388888889,1,1,0,0,1,0,EASY,EASY,DIFFICULT,DIFFICULT,EASY,DIFFICULT,60,50,82,75,50,50,Yes,Yes,Yes,No,No,No,CCPL0000cy,1,0,0,1,1,0,2
"[22, 24, 30]",1,1,1,1,0,0,0,I FEEL EASY,I FEEL EASY,I FEEL EASY,I FEEL DIFFICULT,I FEEL EASY,I FEEL DIFFICULT,37,26,37,70,31,68,Yes,Yes,Yes,No,No,No,CCPL0000cy,1,0,0,1,1,0,2
"[22, 24, 30]",1,1,1,1,0,0,0,it was very nice,it was clear,i feel easy,not clear,i feel bad,confusing,4,5,50,99,100,65,Yes,Yes,Yes,No,No,No,CCPL0000cy,1,0,0,1,1,0,2
"[9, 19, 30]",0.3125,0,0,0,1,0,0,face shape is different,i think the eyebrows are a different colour,cannot see any chimpanzee in the video,same shape face eyebrow colour is the same,chimpanzee is too far away to recognise,cannot see the chimpanzee  face,26,71,92,50,91,82,No,Yes,No,Yes,No,Yes,CCPL0000db,1,0,0,5,0,5,2
"[9, 19, 30]",0.388888889,1,0,0,1,0,1,I feel difficult because the chimpanzees are all the same size.,I feel difficult because you only see the face for a split second.,I feel difficult because you don't even get to see the chimpanzee.,I feel difficult because all the chimpanzees look similar.,I feel difficult because the video is too bright and you can barely see the chimpanzee.,I feel difficult because the video is bright and the chimpanzee's back is turned the whole time.,73,72,100,70,100,85,No,Yes,No,Yes,No,Yes,CCPL0000db,1,0,0,5,0,5,2
"[9, 19, 30]",-0.222222222,0,0,0,0,0,0,difficult,difficult,difficult,difficult,difficult,difficult,62,71,70,67,68,82,No,Yes,No,Yes,No,Yes,CCPL0000db,1,0,0,5,0,5,2
"[9, 19, 30]",0.057142857,1,0,0,1,0,0,I feel it was very easy,I feel it was very easy,I feel it was very difficult,I feel it was very easy,I feel difficult because I choose confused,I feel it was very easy,22,5,100,29,100,1,No,Yes,No,Yes,No,Yes,CCPL0000db,1,0,0,5,0,5,2
"[9, 19, 30]",0.685714286,1,1,0,1,0,1,they are here,playing,back side tree,they are moving,brightness over,he is playing,32,50,33,50,50,50,No,Yes,No,Yes,No,Yes,CCPL0000db,1,0,0,5,0,5,2
"[11, 15, 30]",0.3125,1,0,0,0,0,0,They are very alike.,The face is lighter.,They are very alike.,This one seems to be a baby.,I can't see any details to confirm or differentiate.,I can't see any details to confirm or differentiate.,88,19,71,25,100,100,Yes,No,Yes,No,No,Yes,CCPL0000dr,1,2,1,1,1,2,3
"[11, 15, 30]",0.388888889,0,1,1,0,0,1,this is easy,its easy,i feel this video is easy,its difficult,there is difficult,i feel this video is easy,35,19,31,50,82,36,Yes,No,Yes,No,No,Yes,CCPL0000dr,1,2,1,1,1,2,3
"[11, 15, 30]",-0.375,0,0,0,1,0,0,i feel its difficult because both bruno and chimpanzee looks same,it makes me difficult bruno and chimpanzee looks same,its easy because its chimpanzee,its easy to find because its chimpanzee,its difficult because both are moving in the video,it makes to feel easy because its chimpanze,50,81,50,1,50,16,Yes,No,Yes,No,No,Yes,CCPL0000dr,1,2,1,1,1,2,3
"[11, 15, 30]",0.057142857,0,0,1,0,1,0,I never got a clear image of the chimpanzee's face.,The face was clearly different than Bruno's face.,This really looks like Bruno's face to me.,It's definitely not the baby chimpanzee but I can't see the adult's face. No way to indentify.,It's really not easy to see but that last chimpanzee looks like Bruno's face to me.,It's impossible to identify if that's Bruno of not from just the chimpanzee's back.,100,1,31,100,63,1,Yes,No,Yes,No,No,Yes,CCPL0000dr,1,2,1,1,1,2,3
"[11, 15, 30]",-0.375,0,1,0,0,0,0,Too big!,His size is very clear.,I really can't tell based on the movements,Bruno is solo and has no baby,Too many for it to be burno,It's a really blurry video,12,1,100,1,1,50,Yes,No,Yes,No,No,Yes,CCPL0000dr,1,2,1,1,1,2,3
"[12, 18, 30]",-0.375,0,0,0,0,1,0,had to recall timur's features,its difficult in this monotone,couldnt get a good glimpse of the face,this is not timur,i am almost sure its timur,couldnt see their faces clearly,72,81,78,78,72,81,Yes,Yes,No,No,No,Yes,CCPL0000eu,1,0,3,4,0,2,1
"[12, 18, 30]",-0.222222222,1,1,1,1,1,1,i feel difficult,i feel easy,i feel easy,i feel easy,i feel difficult,i feel difficult,64,26,22,19,70,19,Yes,Yes,No,No,No,Yes,CCPL0000eu,1,0,3,4,0,2,1
"[12, 18, 30]",0.685714286,1,0,0,0,0,1,Similar setting to one seen before (preview),Looks fatter than Timur.,"All I saw is a butt, so really difficult to know because of no face.",I think this one looks bigger than Timur.,"Is the right size, but face looks like it has more fur.",Appears to be his weight/face with his curious characteristic.,21,88,94,73,66,43,Yes,Yes,No,No,No,Yes,CCPL0000eu,1,0,3,4,0,2,1
"[12, 18, 30]",0.057142857,1,0,0,1,1,1,easy,easy,easy,easy,easy,easy,50,25,44,15,4,6,Yes,Yes,No,No,No,Yes,CCPL0000eu,1,0,3,4,0,2,1
"[12, 18, 30]",0.685714286,1,0,0,0,0,1,BY the way it walked and face,Its face is bigger,it just showed the butt,The walking looks not of a timur,I cant see their faces,The walking looks like Timur,60,18,100,64,87,29,Yes,Yes,No,No,No,Yes,CCPL0000eu,1,0,3,4,0,2,1
"[16, 20, 30]",-0.222222222,1,1,1,1,1,1,difficult,i feel little difficult,i feel is very difficult,i feel easy,i feel easy,i feel difficult,100,73,100,7,17,100,Yes,Yes,No,No,No,Yes,CCPL0000i9,1,1,2,1,1,2,0
"[16, 20, 30]",0.388888889,0,1,1,0,0,1,no clear shots of Jax from the front,seems to have similar markings,has their young with them,doesn't appear similar,too brief a glimpse,looks similar and has a baby with ti,82,28,34,33,98,27,Yes,Yes,No,No,No,Yes,CCPL0000i9,1,1,2,1,1,2,0
"[16, 20, 30]",0.057142857,0,0,0,1,0,1,It's especially hard to tell if it's Jax due to numerous other animals.,He has a different build than Jax.,There are so many roving monkeys that it's hard to say if one of them is Jax or not.,The one towards the end of the group has a very similar build to Jax.,He moved so fast that it was difficult to tell if his build matched Jax.,Jax had a baby on his back and this one does as well.,100,34,80,70,90,25,Yes,Yes,No,No,No,Yes,CCPL0000i9,1,1,2,1,1,2,0
"[16, 20, 30]",0.685714286,1,0,0,0,0,1,They are seen behind the tree,The video is too bright,The video is comprehensive enough,I can only see their back and can't judge with that,They are always with a young one,They are seen with another in the video,27,70,33,77,41,5,Yes,Yes,No,No,No,Yes,CCPL0000i9,1,1,2,1,1,2,0
"[16, 20, 30]",0.685714286,1,1,0,1,0,1,no comments,no commnets,no comments,no comments,no comments,no comments,68,64,82,70,71,85,Yes,Yes,No,No,No,Yes,CCPL0000i9,1,1,2,1,1,2,0
"[12, 15, 30]",-0.375,0,1,0,0,0,0,"It is hard to tell, I am just going by the walking style.",I think this is him based on the walk.,It looks like it might be him but I am not sure.,It is too hard to tell anything from the angle.,It is tough to tell from the climbing shot.,I can't tell without seeing him walk.,71,79,82,89,85,87,No,No,Yes,Yes,No,Yes,CCPL0000ib,1,1,1,3,4,1,2
"[12, 15, 30]",-0.222222222,0,0,0,0,0,0,no video,i cant find,no video,no video is not presented,not presented,no video,100,100,100,100,100,100,No,No,Yes,Yes,No,Yes,CCPL0000ib,1,1,1,3,4,1,2
"[12, 15, 30]",-0.375,1,0,0,0,0,0,I think it was okay to figure out becuase Chibi had the baby with them,I didn't see the baby anywhere,I couldn't see the side profile or anything else to try and distinguish Chibi like I am used too,"I could barely make out anything even moving in the picture, it was too distant to get a good look",I didn't see the baby with Chibi,I didn't see the baby with Chibi,56,61,81,100,36,50,No,No,Yes,Yes,No,Yes,CCPL0000ib,1,1,1,3,4,1,2
"[12, 15, 30]",0.685714286,1,0,1,1,0,1,Both chibi and not chibi is looking similar,Easy,Easy,Easy,Easy,Easy,64,32,25,26,27,32,No,No,Yes,Yes,No,Yes,CCPL0000ib,1,1,1,3,4,1,2
"[12, 15, 30]",0.057142857,1,0,1,0,1,1,very easy to identified,very hard to identified,very easy to identified,does not appear the chimpanzee,very easy to identified,very easy to identified,26,82,15,18,23,8,No,No,Yes,Yes,No,Yes,CCPL0000ib,1,1,1,3,4,1,2
"[14, 17, 24]",0.592592593,0,1,1,0,0,0,I feel easy.,I feel very easy.,I feel very easy.,I feel somewhat difficult.,I feel very easy.,I feel very easy.,72,12,50,63,27,19,No,No,Yes,No,No,No,CCPL0000ic,1,0,1,0,0,1,1
"[14, 17, 24]",-0.571428571,1,1,1,1,1,1,I feel make it easy,I feel makes easy.,I feel make easy.,I feel make easy.,I feel make easy,I feel make easy.,2,3,10,2,10,3,No,No,Yes,No,No,No,CCPL0000ic,1,0,1,0,0,1,1
"[14, 17, 24]",0.592592593,0,1,1,0,0,0,"The video is blurry and they're far, but it doesn't look like Elie","It's far, but the baby makes me think that's Elie","This was really easy, it's exactly like in the videos showed before",It's difficult because there are many trees,"The video is the same scene of one of the video showed earlier, so there isn't Elie","It's too dark to understand, but it doesn't look like Elie",80,59,1,80,1,81,No,No,Yes,No,No,No,CCPL0000ic,1,0,1,0,0,1,1
"[14, 17, 24]",1,0,0,1,0,0,0,difficult,difficult,easy,difficult,difficult,difficult,59,75,50,59,65,63,No,No,Yes,No,No,No,CCPL0000ic,1,0,1,0,0,1,1
"[11, 13, 30]",1,1,0,1,0,0,1,Because Toby seems to be a baby chimpanzee.,This chimpanzee seems to be bigger than Toby.,Toby seems to be a baby chimpanzee and likes to climb on top of her mother.,Toby likes to be with its mother and smaller than these.,This one is too old to be Toby.,It could be Toby because he is similar in appearance and climbed down from another chimpanzee.,10,9,5,1,3,26,Yes,No,Yes,No,No,Yes,CCPL0000ig,1,0,1,0,0,1,0
"[11, 13, 30]",-0.571428571,0,1,0,1,1,1,by the example,same as above,i think so,from the sample,i think its is toby 50/50,same,63,39,71,67,50,50,Yes,No,Yes,No,No,Yes,CCPL0000ig,1,0,1,0,0,1,0
"[11, 13, 30]",-0.222222222,0,0,0,0,0,0,not found,not found,not found,not found,not found,not found,50,50,50,50,50,50,Yes,No,Yes,No,No,Yes,CCPL0000ig,1,0,1,0,0,1,0
"[11, 13, 30]",0.057142857,0,0,0,1,0,1,It is easy to find that it is not toby.,IT IS SO HARD TO SAY BECAUSE THERE IS NO CLEAR FACE OF SPECIES.,IT IS NOT SAME TOBY THAT I SAW IN THE VIDEO.,IT IS SIMILAR TO TOBY.,IT IS HARD TO FIND IT IS TOBY OR NOT,NO IT IS NOT TOBY IT IS EASY TO FIND.,33,76,73,50,79,50,Yes,No,Yes,No,No,Yes,CCPL0000ig,1,0,1,0,0,1,0
"[11, 13, 30]",0.057142857,1,0,0,0,1,0,Chimpanzees are very similar.,Chimpanzees are very similar.,Chimpanzees are very similar.,Chimpanzees are very similar.,Chimpanzees are very similar.,Chimpanzees are very similar.,67,75,67,75,50,78,Yes,No,Yes,No,No,Yes,CCPL0000ig,1,0,1,0,0,1,0
"[12, 17, 24]",0.592592593,1,0,0,0,0,0,i fell dificult.,dificult,dificult,dificult,dificult,dificult,44,17,89,75,100,100,Yes,No,No,No,No,Yes,CCPL0000ih,1,0,0,0,2,3,3
"[12, 17, 24]",0.3125,1,0,1,0,0,0,"The way of walking is similar to the one shown in the example where Olive was, so I thought it was easy.","It wasn't that complicated, the only tricky thing was identifying Olive with the night color, but apparently it's not him.","I found it difficult to identify Olive from this angle. Since Olive is a calm chimpanzee, apparently he is in this video.","I found it difficult to identify, the angle and distance of the chimpanzees did not help to identify Olive.","I found it difficult to identify, the angle, the color of the image and the distance of the chimpanze did not help to identify Olive.",I found it difficult to identify Olive because in this video there is almost not enough image to identify Olive as the chimpanzee is out of frame.,5,19,70,94,100,100,Yes,No,No,No,No,Yes,CCPL0000ih,1,0,0,0,2,3,3
"[12, 17, 24]",0.3125,1,0,1,0,0,0,I feel easy because I saw him in example video.,I feel easy because I saw him in example video.,I feel easy because I can recognize olive.,I feel difficult because I cannot see the faces.,I feel difficult because I cannot see the face.,No chimpanzees are this in this video.,10,1,18,89,88,3,Yes,No,No,No,No,Yes,CCPL0000ih,1,0,0,0,2,3,3
"[12, 17, 24]",0.3125,1,0,0,1,0,0,I feel little easy because the walk if the chimpanzee is same,I feel easy because the face is not matching,I feel difficult because I can't see the face clearly,I feel easy because I can identify the walk,I feel difficult because I didn't see the chimpanzee,I feel difficult because I didn't see chimpanzee,34,33,64,32,80,82,Yes,No,No,No,No,Yes,CCPL0000ih,1,0,0,0,2,3,3
"[13, 14, 24]",0.685714286,1,0,1,1,1,0,same face activities,face was some difference,walk was same,same activities,same activities,there is no ILsa,93,31,62,57,65,100,No,No,Yes,Yes,Yes,No,CCPL0000jn,1,0,0,0,0,0,1
"[13, 14, 24]",0.3125,1,1,1,1,1,0,It's quite clear from the side view,They can be found with others,The video is part of the illustration,They are seen leaving the scene on the video,They are vivid in the video,They are not present  as it can be seen from the video,40,22,1,29,4,28,No,No,Yes,Yes,Yes,No,CCPL0000jn,1,0,0,0,0,0,1
"[13, 14, 24]",0.388888889,1,0,1,1,0,0,I feel easy because of the brow structure and ears.,I feel easy because I can tell by the mouth and beard area.,I feel easy because of the markings on the body and the ear placement.,I feel easy because the smaller body and the markings on ear placement.,I feel easy because of the smaller features on the animal.,I feel easy because there was no animal to identify in the video.,5,8,2,2,6,2,No,No,Yes,Yes,Yes,No,CCPL0000jn,1,0,0,0,0,0,1
"[13, 14, 24]",-0.571428571,1,1,0,0,1,1,I feel good,I feel better,I feel bad,I feel not easy,Feel good,I feel better.,74,21,80,50,28,86,No,No,Yes,Yes,Yes,No,CCPL0000jn,1,0,0,0,0,0,1
"[14, 15, 24]",0.3125,1,1,1,0,0,1,Looks the same as the other images.,Bohe carries infant on back.,Bohe carries infant on back rather than stomach.,Not certain which of the two adults is the possibly Bohe.,Image is overexposed and difficult to see clearly.,"Bohe prefers to carry infant on back, although markings are not clear.",50,27,15,77,80,50,Yes,Yes,No,Yes,No,Yes,CCPL0000jo,1,0,0,0,1,1,0
"[14, 15, 24]",-0.1,1,1,1,1,1,1,i feel eassy,i feel easy,i feel easy,i feel difficult,i feel easy,i feel easy,17,28,23,75,32,19,Yes,Yes,No,Yes,No,Yes,CCPL0000jo,1,0,0,0,1,1,0
"[14, 15, 24]",0.3125,1,1,1,0,0,1,It seems like the same pic in the example.,It seems like the same stance and posture as the bohe,"The butt seems the same as the bohe, the color and shape.",The thinner body shape seems non bohe.,The image is not clear it is a toss up it could be either.,It carries the baby in the same fashion as the bohe.,15,72,73,75,100,31,Yes,Yes,No,Yes,No,Yes,CCPL0000jo,1,0,0,0,1,1,0
"[14, 15, 24]",-0.1,1,1,1,1,1,1,Little bit difficult,Not so difficult,not diccicult,not difficult,not so difficult,not difficult,50,40,13,9,16,10,Yes,Yes,No,Yes,No,Yes,CCPL0000jo,1,0,0,0,1,1,0
"[12, 18, 24]",0.057142857,1,0,1,1,1,0,DIFFICULT,EASY,DFFICULT,DIFFICULT,DIFFICULT,DIFFCULT,68,77,71,87,71,75,Yes,Yes,No,No,Yes,No,CCPL0000m9,1,0,0,1,3,1,2
"[12, 18, 24]",1,1,1,0,0,1,0,THIS SPECIES ARE ALMOST LOOK LIKE SAME.,IT IS SO DIFFICULT TO IDENTIFY THE ANIMAL.,IT IS EASY TO FIND THAT IT WAS NOT AISHA.,IT IS SO DIFFICULT BECAUSE OF NO CLEARLY SHOWN TO IDENTIFY THE AISHA.,IT IS SLIGHLTY LIKE AISHA SO IT IS DIFFICULT.,IT IS SO HARD TO SAY IT IS AISHA BECAUSE OF NOT CLEAR CLIP.,62,80,13,81,60,87,Yes,Yes,No,No,Yes,No,CCPL0000m9,1,0,0,1,3,1,2
"[12, 18, 24]",0.3125,1,0,0,0,0,0,This is the same video I saw of Aisha earlier,This face looks different than Aisha's,"Aisha seems to be longer and taller than this one, but it's hard to say","It's hard to say, but this looks like Aisha due to the size and profile",This seems like an older ape and not Aisha but it's hard to say,The video is very brief and it's hard to tell if this is Aisha or not,13,75,84,78,69,100,Yes,Yes,No,No,Yes,No,CCPL0000m9,1,0,0,1,3,1,2
"[12, 18, 24]",0.685714286,1,1,0,0,0,0,Aisha has very long limbs so it is easy to spot her in this video,i can easily spot aisha because of her long limbs here too,Aisha has long limbs but the chimpanzee in this video has short limbs,there are a lot of chimpanzees in this video so it is kind of hard to spot aisha,"again, Aisha has long limbs and a slim figure but the ones showed here are of short limb and a bit chubby",i dont see any chimpanzees here,1,14,13,70,23,11,Yes,Yes,No,No,Yes,No,CCPL0000m9,1,0,0,1,3,1,2
"[9, 11, 24]",0.3125,0,0,0,0,1,0,Raminta is small,Not visible,Not fully visible,not clearly visible,clearly visible,not present,35,87,82,68,1,50,No,No,Yes,Yes,Yes,No,CCPL0000mo,1,0,2,3,2,0,0
"[9, 11, 24]",-0.571428571,1,1,0,0,0,0,It was okay,it was easy,Just confused,Just confused,it was easy,it was easy to find,35,5,99,96,11,13,No,No,Yes,Yes,Yes,No,CCPL0000mo,1,0,2,3,2,0,0
